"cidade";"Demanda";"Area";"Volume";"EficienciaGlobal"
"1";"Agudo";"100";"50";"500";"66.6301669860389"
"2";"Agudo";"100";"50";"1000";"82.8086504243088"
"3";"Agudo";"100";"50";"2000";"93.7585546126471"
"4";"Agudo";"100";"50";"3000";"97.3902728351127"
"5";"Agudo";"100";"50";"4000";"98.8685099005384"
"6";"Agudo";"100";"50";"5000";"99.6897527146638"
"7";"Agudo";"100";"50";"6000";"99.9270006387444"
"8";"Agudo";"100";"50";"7000";"99.9543753992153"
"9";"Agudo";"100";"50";"8000";"99.9543753992153"
"10";"Agudo";"100";"50";"9000";"99.9543753992153"
"11";"Agudo";"100";"50";"10000";"99.9543753992153"
"12";"Agudo";"100";"50";"20000";"99.9543753992153"
"13";"Agudo";"100";"50";"30000";"99.9543753992153"
"14";"Agudo";"100";"50";"40000";"99.9543753992153"
"15";"Agudo";"100";"50";"50000";"99.9543753992153"
"16";"Agudo";"100";"100";"500";"69.8512638014417"
"17";"Agudo";"100";"100";"1000";"87.0152386166621"
"18";"Agudo";"100";"100";"2000";"97.1256501505612"
"19";"Agudo";"100";"100";"3000";"99.0510083036773"
"20";"Agudo";"100";"100";"4000";"99.6988776348207"
"21";"Agudo";"100";"100";"5000";"99.9270006387444"
"22";"Agudo";"100";"100";"6000";"99.9543753992153"
"23";"Agudo";"100";"100";"7000";"99.9543753992153"
"24";"Agudo";"100";"100";"8000";"99.9543753992153"
"25";"Agudo";"100";"100";"9000";"99.9543753992153"
"26";"Agudo";"100";"100";"10000";"99.9543753992153"
"27";"Agudo";"100";"100";"20000";"99.9543753992153"
"28";"Agudo";"100";"100";"30000";"99.9543753992153"
"29";"Agudo";"100";"100";"40000";"99.9543753992153"
"30";"Agudo";"100";"100";"50000";"99.9543753992153"
"31";"Agudo";"100";"150";"500";"71.0101286613742"
"32";"Agudo";"100";"150";"1000";"88.3292271192627"
"33";"Agudo";"100";"150";"2000";"97.8465188429601"
"34";"Agudo";"100";"150";"3000";"99.3521306688567"
"35";"Agudo";"100";"150";"4000";"99.7992517565471"
"36";"Agudo";"100";"150";"5000";"99.9543753992153"
"37";"Agudo";"100";"150";"6000";"99.9543753992153"
"38";"Agudo";"100";"150";"7000";"99.9543753992153"
"39";"Agudo";"100";"150";"8000";"99.9543753992153"
"40";"Agudo";"100";"150";"9000";"99.9543753992153"
"41";"Agudo";"100";"150";"10000";"99.9543753992153"
"42";"Agudo";"100";"150";"20000";"99.9543753992153"
"43";"Agudo";"100";"150";"30000";"99.9543753992153"
"44";"Agudo";"100";"150";"40000";"99.9543753992153"
"45";"Agudo";"100";"150";"50000";"99.9543753992153"
"46";"Agudo";"100";"200";"500";"71.7218724336162"
"47";"Agudo";"100";"200";"1000";"89.0683456519755"
"48";"Agudo";"100";"200";"2000";"98.2480153298659"
"49";"Agudo";"100";"200";"3000";"99.46162971074"
"50";"Agudo";"100";"200";"4000";"99.8357514371749"
"51";"Agudo";"100";"200";"5000";"99.9543753992153"
"52";"Agudo";"100";"200";"6000";"99.9543753992153"
"53";"Agudo";"100";"200";"7000";"99.9543753992153"
"54";"Agudo";"100";"200";"8000";"99.9543753992153"
"55";"Agudo";"100";"200";"9000";"99.9543753992153"
"56";"Agudo";"100";"200";"10000";"99.9543753992153"
"57";"Agudo";"100";"200";"20000";"99.9543753992153"
"58";"Agudo";"100";"200";"30000";"99.9543753992153"
"59";"Agudo";"100";"200";"40000";"99.9543753992153"
"60";"Agudo";"100";"200";"50000";"99.9543753992153"
"61";"Agudo";"100";"300";"500";"72.4792408066429"
"62";"Agudo";"100";"300";"1000";"90.0355871886121"
"63";"Agudo";"100";"300";"2000";"98.5400127748882"
"64";"Agudo";"100";"300";"3000";"99.5620038324665"
"65";"Agudo";"100";"300";"4000";"99.8448763573319"
"66";"Agudo";"100";"300";"5000";"99.9543753992153"
"67";"Agudo";"100";"300";"6000";"99.9543753992153"
"68";"Agudo";"100";"300";"7000";"99.9543753992153"
"69";"Agudo";"100";"300";"8000";"99.9543753992153"
"70";"Agudo";"100";"300";"9000";"99.9543753992153"
"71";"Agudo";"100";"300";"10000";"99.9543753992153"
"72";"Agudo";"100";"300";"20000";"99.9543753992153"
"73";"Agudo";"100";"300";"30000";"99.9543753992153"
"74";"Agudo";"100";"300";"40000";"99.9543753992153"
"75";"Agudo";"100";"300";"50000";"99.9543753992153"
"76";"Agudo";"100";"400";"500";"72.9172369741765"
"77";"Agudo";"100";"400";"1000";"90.5739574778721"
"78";"Agudo";"100";"400";"2000";"98.6860114973994"
"79";"Agudo";"100";"400";"3000";"99.6076284332512"
"80";"Agudo";"100";"400";"4000";"99.8448763573319"
"81";"Agudo";"100";"400";"5000";"99.9543753992153"
"82";"Agudo";"100";"400";"6000";"99.9543753992153"
"83";"Agudo";"100";"400";"7000";"99.9543753992153"
"84";"Agudo";"100";"400";"8000";"99.9543753992153"
"85";"Agudo";"100";"400";"9000";"99.9543753992153"
"86";"Agudo";"100";"400";"10000";"99.9543753992153"
"87";"Agudo";"100";"400";"20000";"99.9543753992153"
"88";"Agudo";"100";"400";"30000";"99.9543753992153"
"89";"Agudo";"100";"400";"40000";"99.9543753992153"
"90";"Agudo";"100";"400";"50000";"99.9543753992153"
"91";"Agudo";"100";"500";"500";"73.1362350579432"
"92";"Agudo";"100";"500";"1000";"90.8294552422666"
"93";"Agudo";"100";"500";"2000";"98.7681357788119"
"94";"Agudo";"100";"500";"3000";"99.6076284332512"
"95";"Agudo";"100";"500";"4000";"99.8448763573319"
"96";"Agudo";"100";"500";"5000";"99.9543753992153"
"97";"Agudo";"100";"500";"6000";"99.9543753992153"
"98";"Agudo";"100";"500";"7000";"99.9543753992153"
"99";"Agudo";"100";"500";"8000";"99.9543753992153"
"100";"Agudo";"100";"500";"9000";"99.9543753992153"
"101";"Agudo";"100";"500";"10000";"99.9543753992153"
"102";"Agudo";"100";"500";"20000";"99.9543753992153"
"103";"Agudo";"100";"500";"30000";"99.9543753992153"
"104";"Agudo";"100";"500";"40000";"99.9543753992153"
"105";"Agudo";"100";"500";"50000";"99.9543753992153"
"106";"Agudo";"100";"1000";"500";"73.6563555068893"
"107";"Agudo";"100";"1000";"1000";"91.2674514098002"
"108";"Agudo";"100";"1000";"2000";"98.8320102199106"
"109";"Agudo";"100";"1000";"3000";"99.6258782735651"
"110";"Agudo";"100";"1000";"4000";"99.8631261976458"
"111";"Agudo";"100";"1000";"5000";"99.9543753992153"
"112";"Agudo";"100";"1000";"6000";"99.9543753992153"
"113";"Agudo";"100";"1000";"7000";"99.9543753992153"
"114";"Agudo";"100";"1000";"8000";"99.9543753992153"
"115";"Agudo";"100";"1000";"9000";"99.9543753992153"
"116";"Agudo";"100";"1000";"10000";"99.9543753992153"
"117";"Agudo";"100";"1000";"20000";"99.9543753992153"
"118";"Agudo";"100";"1000";"30000";"99.9543753992153"
"119";"Agudo";"100";"1000";"40000";"99.9543753992153"
"120";"Agudo";"100";"1000";"50000";"99.9543753992153"
"121";"Agudo";"200";"50";"500";"50.6889314718496"
"122";"Agudo";"200";"50";"1000";"60.3430969979013"
"123";"Agudo";"200";"50";"2000";"72.4974906469568"
"124";"Agudo";"200";"50";"3000";"78.1731909845789"
"125";"Agudo";"200";"50";"4000";"81.5950360434346"
"126";"Agudo";"200";"50";"5000";"84.2960124098914"
"127";"Agudo";"200";"50";"6000";"86.1301213614381"
"128";"Agudo";"200";"50";"7000";"87.4532347841956"
"129";"Agudo";"200";"50";"8000";"88.4661009216169"
"130";"Agudo";"200";"50";"9000";"89.2964686558993"
"131";"Agudo";"200";"50";"10000";"89.9169632265718"
"132";"Agudo";"200";"50";"20000";"93.42093256684"
"133";"Agudo";"200";"50";"30000";"94.7714207500684"
"134";"Agudo";"200";"50";"40000";"95.9850351309426"
"135";"Agudo";"200";"50";"50000";"96.9522766675792"
"136";"Agudo";"200";"100";"500";"54.7221461812209"
"137";"Agudo";"200";"100";"1000";"66.6301669860389"
"138";"Agudo";"200";"100";"2000";"82.8086504243088"
"139";"Agudo";"200";"100";"3000";"90.044712108769"
"140";"Agudo";"200";"100";"4000";"93.7585546126471"
"141";"Agudo";"200";"100";"5000";"95.9576603704718"
"142";"Agudo";"200";"100";"6000";"97.3902728351127"
"143";"Agudo";"200";"100";"7000";"98.229765489552"
"144";"Agudo";"200";"100";"8000";"98.8685099005384"
"145";"Agudo";"200";"100";"9000";"99.3612555890136"
"146";"Agudo";"200";"100";"10000";"99.6897527146638"
"147";"Agudo";"200";"100";"20000";"99.9543753992153"
"148";"Agudo";"200";"100";"30000";"99.9543753992153"
"149";"Agudo";"200";"100";"40000";"99.9543753992153"
"150";"Agudo";"200";"100";"50000";"99.9543753992153"
"151";"Agudo";"200";"150";"500";"56.1638835660188"
"152";"Agudo";"200";"150";"1000";"68.7745232229218"
"153";"Agudo";"200";"150";"2000";"85.6465005931198"
"154";"Agudo";"200";"150";"3000";"93.065060680719"
"155";"Agudo";"200";"150";"4000";"96.3044073364358"
"156";"Agudo";"200";"150";"5000";"97.9651428050005"
"157";"Agudo";"200";"150";"6000";"98.7316360981841"
"158";"Agudo";"200";"150";"7000";"99.1970070261885"
"159";"Agudo";"200";"150";"8000";"99.5528789123095"
"160";"Agudo";"200";"150";"9000";"99.7445022356054"
"161";"Agudo";"200";"150";"10000";"99.8540012774888"
"162";"Agudo";"200";"150";"20000";"99.9543753992153"
"163";"Agudo";"200";"150";"30000";"99.9543753992153"
"164";"Agudo";"200";"150";"40000";"99.9543753992153"
"165";"Agudo";"200";"150";"50000";"99.9543753992153"
"166";"Agudo";"200";"200";"500";"56.9668765398303"
"167";"Agudo";"200";"200";"1000";"69.8512638014417"
"168";"Agudo";"200";"200";"2000";"87.0152386166621"
"169";"Agudo";"200";"200";"3000";"94.0596769778264"
"170";"Agudo";"200";"200";"4000";"97.1256501505612"
"171";"Agudo";"200";"200";"5000";"98.4852632539465"
"172";"Agudo";"200";"200";"6000";"99.0510083036773"
"173";"Agudo";"200";"200";"7000";"99.4525047905831"
"174";"Agudo";"200";"200";"8000";"99.6988776348207"
"175";"Agudo";"200";"200";"9000";"99.8357514371749"
"176";"Agudo";"200";"200";"10000";"99.9270006387444"
"177";"Agudo";"200";"200";"20000";"99.9543753992153"
"178";"Agudo";"200";"200";"30000";"99.9543753992153"
"179";"Agudo";"200";"200";"40000";"99.9543753992153"
"180";"Agudo";"200";"200";"50000";"99.9543753992153"
"181";"Agudo";"200";"300";"500";"57.7881193539557"
"182";"Agudo";"200";"300";"1000";"71.0101286613742"
"183";"Agudo";"200";"300";"2000";"88.3292271192627"
"184";"Agudo";"200";"300";"3000";"95.026918514463"
"185";"Agudo";"200";"300";"4000";"97.8465188429601"
"186";"Agudo";"200";"300";"5000";"98.9506341819509"
"187";"Agudo";"200";"300";"6000";"99.3521306688567"
"188";"Agudo";"200";"300";"7000";"99.6167533534082"
"189";"Agudo";"200";"300";"8000";"99.7992517565471"
"190";"Agudo";"200";"300";"9000";"99.8996258782736"
"191";"Agudo";"200";"300";"10000";"99.9543753992153"
"192";"Agudo";"200";"300";"20000";"99.9543753992153"
"193";"Agudo";"200";"300";"30000";"99.9543753992153"
"194";"Agudo";"200";"300";"40000";"99.9543753992153"
"195";"Agudo";"200";"300";"50000";"99.9543753992153"
"196";"Agudo";"200";"400";"500";"58.3082398029017"
"197";"Agudo";"200";"400";"1000";"71.7218724336162"
"198";"Agudo";"200";"400";"2000";"89.0683456519755"
"199";"Agudo";"200";"400";"3000";"95.565288803723"
"200";"Agudo";"200";"400";"4000";"98.2480153298659"
"201";"Agudo";"200";"400";"5000";"99.1240076649329"
"202";"Agudo";"200";"400";"6000";"99.46162971074"
"203";"Agudo";"200";"400";"7000";"99.6897527146638"
"204";"Agudo";"200";"400";"8000";"99.8357514371749"
"205";"Agudo";"200";"400";"9000";"99.9087507984305"
"206";"Agudo";"200";"400";"10000";"99.9543753992153"
"207";"Agudo";"200";"400";"20000";"99.9543753992153"
"208";"Agudo";"200";"400";"30000";"99.9543753992153"
"209";"Agudo";"200";"400";"40000";"99.9543753992153"
"210";"Agudo";"200";"400";"50000";"99.9543753992153"
"211";"Agudo";"200";"500";"500";"58.6823615293366"
"212";"Agudo";"200";"500";"1000";"72.1872433616206"
"213";"Agudo";"200";"500";"2000";"89.6067159412355"
"214";"Agudo";"200";"500";"3000";"95.9667852906287"
"215";"Agudo";"200";"500";"4000";"98.4122638926909"
"216";"Agudo";"200";"500";"5000";"99.1878821060316"
"217";"Agudo";"200";"500";"6000";"99.5072543115248"
"218";"Agudo";"200";"500";"7000";"99.7262523952915"
"219";"Agudo";"200";"500";"8000";"99.8357514371749"
"220";"Agudo";"200";"500";"9000";"99.9087507984305"
"221";"Agudo";"200";"500";"10000";"99.9543753992153"
