"teste1";"Demanda";"Area";"Volume";"EficienciaGlobal"
"1";"Agudo";"100";"50";"500";"60.7314247890121"
"2";"Agudo";"100";"50";"1000";"75.9887473109383"
"3";"Agudo";"100";"50";"2000";"89.4092338242595"
"4";"Agudo";"100";"50";"3000";"95.0686744994208"
"5";"Agudo";"100";"50";"4000";"97.4350488168128"
"6";"Agudo";"100";"50";"5000";"98.5603177229853"
"7";"Agudo";"100";"50";"6000";"99.1395002482211"
"8";"Agudo";"100";"50";"7000";"99.2884328975674"
"9";"Agudo";"100";"50";"8000";"99.2884328975674"
"10";"Agudo";"100";"50";"9000";"99.2884328975674"
"11";"Agudo";"100";"50";"10000";"99.2884328975674"
"12";"Agudo";"100";"50";"20000";"99.2884328975674"
"13";"Agudo";"100";"50";"30000";"99.2884328975674"
"14";"Agudo";"100";"50";"40000";"99.2884328975674"
"15";"Agudo";"100";"50";"50000";"99.2884328975674"
"16";"Agudo";"100";"100";"500";"64.2065199404269"
"17";"Agudo";"100";"100";"1000";"81.1682938937614"
"18";"Agudo";"100";"100";"2000";"94.3736554691378"
"19";"Agudo";"100";"100";"3000";"98.2955485685918"
"20";"Agudo";"100";"100";"4000";"99.304980969717"
"21";"Agudo";"100";"100";"5000";"99.5035578355122"
"22";"Agudo";"100";"100";"6000";"99.5035578355122"
"23";"Agudo";"100";"100";"7000";"99.5035578355122"
"24";"Agudo";"100";"100";"8000";"99.5035578355122"
"25";"Agudo";"100";"100";"9000";"99.5035578355122"
"26";"Agudo";"100";"100";"10000";"99.5035578355122"
"27";"Agudo";"100";"100";"20000";"99.5035578355122"
"28";"Agudo";"100";"100";"30000";"99.5035578355122"
"29";"Agudo";"100";"100";"40000";"99.5035578355122"
"30";"Agudo";"100";"100";"50000";"99.5035578355122"
"31";"Agudo";"100";"150";"500";"65.4641734237961"
"32";"Agudo";"100";"150";"1000";"82.7900049644217"
"33";"Agudo";"100";"150";"2000";"95.631308952507"
"34";"Agudo";"100";"150";"3000";"99.0567598874731"
"35";"Agudo";"100";"150";"4000";"99.5862981962601"
"36";"Agudo";"100";"150";"5000";"99.5862981962601"
"37";"Agudo";"100";"150";"6000";"99.5862981962601"
"38";"Agudo";"100";"150";"7000";"99.5862981962601"
"39";"Agudo";"100";"150";"8000";"99.5862981962601"
"40";"Agudo";"100";"150";"9000";"99.5862981962601"
"41";"Agudo";"100";"150";"10000";"99.5862981962601"
"42";"Agudo";"100";"150";"20000";"99.5862981962601"
"43";"Agudo";"100";"150";"30000";"99.5862981962601"
"44";"Agudo";"100";"150";"40000";"99.5862981962601"
"45";"Agudo";"100";"150";"50000";"99.5862981962601"
"46";"Agudo";"100";"200";"500";"65.9275194439848"
"47";"Agudo";"100";"200";"1000";"83.5677643554526"
"48";"Agudo";"100";"200";"2000";"96.2104914777428"
"49";"Agudo";"100";"200";"3000";"99.2387886811186"
"50";"Agudo";"100";"200";"4000";"99.5862981962601"
"51";"Agudo";"100";"200";"5000";"99.5862981962601"
"52";"Agudo";"100";"200";"6000";"99.5862981962601"
"53";"Agudo";"100";"200";"7000";"99.5862981962601"
"54";"Agudo";"100";"200";"8000";"99.5862981962601"
"55";"Agudo";"100";"200";"9000";"99.5862981962601"
"56";"Agudo";"100";"200";"10000";"99.5862981962601"
"57";"Agudo";"100";"200";"20000";"99.5862981962601"
"58";"Agudo";"100";"200";"30000";"99.5862981962601"
"59";"Agudo";"100";"200";"40000";"99.5862981962601"
"60";"Agudo";"100";"200";"50000";"99.5862981962601"
"61";"Agudo";"100";"300";"500";"66.6225384742677"
"62";"Agudo";"100";"300";"1000";"84.6433890451762"
"63";"Agudo";"100";"300";"2000";"96.855866291577"
"64";"Agudo";"100";"300";"3000";"99.387721330465"
"65";"Agudo";"100";"300";"4000";"99.5862981962601"
"66";"Agudo";"100";"300";"5000";"99.5862981962601"
"67";"Agudo";"100";"300";"6000";"99.5862981962601"
"68";"Agudo";"100";"300";"7000";"99.5862981962601"
"69";"Agudo";"100";"300";"8000";"99.5862981962601"
"70";"Agudo";"100";"300";"9000";"99.5862981962601"
"71";"Agudo";"100";"300";"10000";"99.5862981962601"
"72";"Agudo";"100";"300";"20000";"99.5862981962601"
"73";"Agudo";"100";"300";"30000";"99.5862981962601"
"74";"Agudo";"100";"300";"40000";"99.5862981962601"
"75";"Agudo";"100";"300";"50000";"99.5862981962601"
"76";"Agudo";"100";"400";"500";"66.8707595565117"
"77";"Agudo";"100";"400";"1000";"85.0405427767665"
"78";"Agudo";"100";"400";"2000";"97.0378950852226"
"79";"Agudo";"100";"400";"3000";"99.387721330465"
"80";"Agudo";"100";"400";"4000";"99.5862981962601"
"81";"Agudo";"100";"400";"5000";"99.5862981962601"
"82";"Agudo";"100";"400";"6000";"99.5862981962601"
"83";"Agudo";"100";"400";"7000";"99.5862981962601"
"84";"Agudo";"100";"400";"8000";"99.5862981962601"
"85";"Agudo";"100";"400";"9000";"99.5862981962601"
"86";"Agudo";"100";"400";"10000";"99.5862981962601"
"87";"Agudo";"100";"400";"20000";"99.5862981962601"
"88";"Agudo";"100";"400";"30000";"99.5862981962601"
"89";"Agudo";"100";"400";"40000";"99.5862981962601"
"90";"Agudo";"100";"400";"50000";"99.5862981962601"
"91";"Agudo";"100";"500";"500";"67.019692205858"
"92";"Agudo";"100";"500";"1000";"85.2060234982625"
"93";"Agudo";"100";"500";"2000";"97.0709912295218"
"94";"Agudo";"100";"500";"3000";"99.4042694026146"
"95";"Agudo";"100";"500";"4000";"99.5862981962601"
"96";"Agudo";"100";"500";"5000";"99.5862981962601"
"97";"Agudo";"100";"500";"6000";"99.5862981962601"
"98";"Agudo";"100";"500";"7000";"99.5862981962601"
"99";"Agudo";"100";"500";"8000";"99.5862981962601"
"100";"Agudo";"100";"500";"9000";"99.5862981962601"
"101";"Agudo";"100";"500";"10000";"99.5862981962601"
"102";"Agudo";"100";"500";"20000";"99.5862981962601"
"103";"Agudo";"100";"500";"30000";"99.5862981962601"
"104";"Agudo";"100";"500";"40000";"99.5862981962601"
"105";"Agudo";"100";"500";"50000";"99.5862981962601"
"106";"Agudo";"100";"1000";"500";"67.4664901538971"
"107";"Agudo";"100";"1000";"1000";"85.7024656627503"
"108";"Agudo";"100";"1000";"2000";"97.2199238788681"
"109";"Agudo";"100";"1000";"3000";"99.4208174747642"
"110";"Agudo";"100";"1000";"4000";"99.6028462684097"
"111";"Agudo";"100";"1000";"5000";"99.6028462684097"
"112";"Agudo";"100";"1000";"6000";"99.6028462684097"
"113";"Agudo";"100";"1000";"7000";"99.6028462684097"
"114";"Agudo";"100";"1000";"8000";"99.6028462684097"
"115";"Agudo";"100";"1000";"9000";"99.6028462684097"
"116";"Agudo";"100";"1000";"10000";"99.6028462684097"
"117";"Agudo";"100";"1000";"20000";"99.6028462684097"
"118";"Agudo";"100";"1000";"30000";"99.6028462684097"
"119";"Agudo";"100";"1000";"40000";"99.6028462684097"
"120";"Agudo";"100";"1000";"50000";"99.6028462684097"
"121";"Agudo";"200";"50";"500";"45.5237464835347"
"122";"Agudo";"200";"50";"1000";"54.3769650835678"
"123";"Agudo";"200";"50";"2000";"65.348336918749"
"124";"Agudo";"200";"50";"3000";"70.776104583816"
"125";"Agudo";"200";"50";"4000";"73.8871421479398"
"126";"Agudo";"200";"50";"5000";"76.0714876716862"
"127";"Agudo";"200";"50";"6000";"77.6435545258977"
"128";"Agudo";"200";"50";"7000";"78.9012080092669"
"129";"Agudo";"200";"50";"8000";"79.794803905345"
"130";"Agudo";"200";"50";"9000";"80.572563296376"
"131";"Agudo";"200";"50";"10000";"81.2013900380606"
"132";"Agudo";"200";"50";"20000";"84.5275525401291"
"133";"Agudo";"200";"50";"30000";"85.7355618070495"
"134";"Agudo";"200";"50";"40000";"85.7686579513487"
"135";"Agudo";"200";"50";"50000";"85.7686579513487"
"136";"Agudo";"200";"100";"500";"49.5614760880357"
"137";"Agudo";"200";"100";"1000";"60.7314247890121"
"138";"Agudo";"200";"100";"2000";"75.9887473109383"
"139";"Agudo";"200";"100";"3000";"84.4448121793811"
"140";"Agudo";"200";"100";"4000";"89.4092338242595"
"141";"Agudo";"200";"100";"5000";"92.818136687076"
"142";"Agudo";"200";"100";"6000";"95.0686744994208"
"143";"Agudo";"200";"100";"7000";"96.5414529207347"
"144";"Agudo";"200";"100";"8000";"97.4350488168128"
"145";"Agudo";"200";"100";"9000";"98.0969717027966"
"146";"Agudo";"200";"100";"10000";"98.5603177229853"
"147";"Agudo";"200";"100";"20000";"99.2884328975674"
"148";"Agudo";"200";"100";"30000";"99.2884328975674"
"149";"Agudo";"200";"100";"40000";"99.2884328975674"
"150";"Agudo";"200";"100";"50000";"99.2884328975674"
"151";"Agudo";"200";"150";"500";"51.183187158696"
"152";"Agudo";"200";"150";"1000";"63.2301836836009"
"153";"Agudo";"200";"150";"2000";"79.5465828231011"
"154";"Agudo";"200";"150";"3000";"88.0688399801423"
"155";"Agudo";"200";"150";"4000";"93.0663577693199"
"156";"Agudo";"200";"150";"5000";"95.7636935297038"
"157";"Agudo";"200";"150";"6000";"97.3854046003641"
"158";"Agudo";"200";"150";"7000";"98.2293562799934"
"159";"Agudo";"200";"150";"8000";"98.7919907330796"
"160";"Agudo";"200";"150";"9000";"99.1229521760715"
"161";"Agudo";"200";"150";"10000";"99.3215290418666"
"162";"Agudo";"200";"150";"20000";"99.4042694026146"
"163";"Agudo";"200";"150";"30000";"99.4042694026146"
"164";"Agudo";"200";"150";"40000";"99.4042694026146"
"165";"Agudo";"200";"150";"50000";"99.4042694026146"
"166";"Agudo";"200";"200";"500";"51.8285619725302"
"167";"Agudo";"200";"200";"1000";"64.2065199404269"
"168";"Agudo";"200";"200";"2000";"81.1682938937614"
"169";"Agudo";"200";"200";"3000";"89.5250703293066"
"170";"Agudo";"200";"200";"4000";"94.3736554691378"
"171";"Agudo";"200";"200";"5000";"96.938606652325"
"172";"Agudo";"200";"200";"6000";"98.2955485685918"
"173";"Agudo";"200";"200";"7000";"98.9243753102764"
"174";"Agudo";"200";"200";"8000";"99.304980969717"
"175";"Agudo";"200";"200";"9000";"99.4870097633626"
"176";"Agudo";"200";"200";"10000";"99.5035578355122"
"177";"Agudo";"200";"200";"20000";"99.5035578355122"
"178";"Agudo";"200";"200";"30000";"99.5035578355122"
"179";"Agudo";"200";"200";"40000";"99.5035578355122"
"180";"Agudo";"200";"200";"50000";"99.5035578355122"
"181";"Agudo";"200";"300";"500";"52.6394175078603"
"182";"Agudo";"200";"300";"1000";"65.4641734237961"
"183";"Agudo";"200";"300";"2000";"82.7900049644217"
"184";"Agudo";"200";"300";"3000";"91.1798775442661"
"185";"Agudo";"200";"300";"4000";"95.631308952507"
"186";"Agudo";"200";"300";"5000";"98.0473274863478"
"187";"Agudo";"200";"300";"6000";"99.0567598874731"
"188";"Agudo";"200";"300";"7000";"99.4373655469138"
"189";"Agudo";"200";"300";"8000";"99.5862981962601"
"190";"Agudo";"200";"300";"9000";"99.5862981962601"
"191";"Agudo";"200";"300";"10000";"99.5862981962601"
"192";"Agudo";"200";"300";"20000";"99.5862981962601"
"193";"Agudo";"200";"300";"30000";"99.5862981962601"
"194";"Agudo";"200";"300";"40000";"99.5862981962601"
"195";"Agudo";"200";"300";"50000";"99.5862981962601"
"196";"Agudo";"200";"400";"500";"52.937282806553"
"197";"Agudo";"200";"400";"1000";"65.9275194439848"
"198";"Agudo";"200";"400";"2000";"83.5677643554526"
"199";"Agudo";"200";"400";"3000";"91.8252523581003"
"200";"Agudo";"200";"400";"4000";"96.2104914777428"
"201";"Agudo";"200";"400";"5000";"98.3948370014893"
"202";"Agudo";"200";"400";"6000";"99.2387886811186"
"203";"Agudo";"200";"400";"7000";"99.5201059076618"
"204";"Agudo";"200";"400";"8000";"99.5862981962601"
"205";"Agudo";"200";"400";"9000";"99.5862981962601"
"206";"Agudo";"200";"400";"10000";"99.5862981962601"
"207";"Agudo";"200";"400";"20000";"99.5862981962601"
"208";"Agudo";"200";"400";"30000";"99.5862981962601"
"209";"Agudo";"200";"400";"40000";"99.5862981962601"
"210";"Agudo";"200";"400";"50000";"99.5862981962601"
"211";"Agudo";"200";"500";"500";"53.185503888797"
"212";"Agudo";"200";"500";"1000";"66.3081251034255"
"213";"Agudo";"200";"500";"2000";"84.1138507363892"
"214";"Agudo";"200";"500";"3000";"92.2555022339897"
"215";"Agudo";"200";"500";"4000";"96.5414529207347"
"216";"Agudo";"200";"500";"5000";"98.6430580837333"
"217";"Agudo";"200";"500";"6000";"99.3546251861658"
"218";"Agudo";"200";"500";"7000";"99.5532020519609"
"219";"Agudo";"200";"500";"8000";"99.5862981962601"
"220";"Agudo";"200";"500";"9000";"99.5862981962601"
"221";"Agudo";"200";"500";"10000";"99.5862981962601"
"222";"Agudo";"200";"500";"20000";"99.5862981962601"
"223";"Agudo";"200";"500";"30000";"99.5862981962601"
"224";"Agudo";"200";"500";"40000";"99.5862981962601"
"225";"Agudo";"200";"500";"50000";"99.5862981962601"
"226";"Agudo";"200";"1000";"500";"53.6984941254344"
"227";"Agudo";"200";"1000";"1000";"67.019692205858"
"228";"Agudo";"200";"1000";"2000";"85.2060234982625"
"229";"Agudo";"200";"1000";"3000";"93.1987423465166"
"230";"Agudo";"200";"1000";"4000";"97.0709912295218"
"231";"Agudo";"200";"1000";"5000";"98.8085388052292"
"232";"Agudo";"200";"1000";"6000";"99.4042694026146"
"233";"Agudo";"200";"1000";"7000";"99.5532020519609"
"234";"Agudo";"200";"1000";"8000";"99.5862981962601"
"235";"Agudo";"200";"1000";"9000";"99.5862981962601"
"236";"Agudo";"200";"1000";"10000";"99.5862981962601"
"237";"Agudo";"200";"1000";"20000";"99.5862981962601"
"238";"Agudo";"200";"1000";"30000";"99.5862981962601"
"239";"Agudo";"200";"1000";"40000";"99.5862981962601"
"240";"Agudo";"200";"1000";"50000";"99.5862981962601"
"241";"Agudo";"300";"50";"500";"37.0345854707926"
"242";"Agudo";"300";"50";"1000";"44.7459870925037"
"243";"Agudo";"300";"50";"2000";"51.2493794472944"
"244";"Agudo";"300";"50";"3000";"54.7079265265597"
"245";"Agudo";"300";"50";"4000";"56.7929836174086"
"246";"Agudo";"300";"50";"5000";"58.2326658944233"
"247";"Agudo";"300";"50";"6000";"59.1759060069502"
"248";"Agudo";"300";"50";"7000";"59.672348171438"
"249";"Agudo";"300";"50";"8000";"60.0364057587291"
"250";"Agudo";"300";"50";"9000";"60.284626840973"
"251";"Agudo";"300";"50";"10000";"60.4170114181698"
"252";"Agudo";"300";"50";"20000";"60.4832037067682"
"253";"Agudo";"300";"50";"30000";"60.4832037067682"
"254";"Agudo";"300";"50";"40000";"60.4832037067682"
"255";"Agudo";"300";"50";"50000";"60.4832037067682"
"256";"Agudo";"300";"100";"500";"40.8737382094986"
"257";"Agudo";"300";"100";"1000";"52.5401290749628"
"258";"Agudo";"300";"100";"2000";"63.7266258480887"
"259";"Agudo";"300";"100";"3000";"70.8753930167135"
"260";"Agudo";"300";"100";"4000";"76.1707761045838"
"261";"Agudo";"300";"100";"5000";"79.5631308952507"
"262";"Agudo";"300";"100";"6000";"82.1942743670362"
"263";"Agudo";"300";"100";"7000";"84.3951679629323"
"264";"Agudo";"300";"100";"8000";"86.0499751778918"
"265";"Agudo";"300";"100";"9000";"87.4565613106073"
"266";"Agudo";"300";"100";"10000";"88.6480225053781"
"267";"Agudo";"300";"100";"20000";"94.5556842627834"
"268";"Agudo";"300";"100";"30000";"96.6572894257819"
"269";"Agudo";"300";"100";"40000";"98.1797120635446"
"270";"Agudo";"300";"100";"50000";"99.1064041039219"
"271";"Agudo";"300";"150";"500";"42.2803243422141"
"272";"Agudo";"300";"150";"1000";"55.3533013403938"
"273";"Agudo";"300";"150";"2000";"67.8636438854873"
"274";"Agudo";"300";"150";"3000";"75.9887473109383"
"275";"Agudo";"300";"150";"4000";"82.5252358100281"
