"nº";"Cidade""Demanda";"Area";"Volume";"EficienciaGlobal"
"1";"Aceguá";"100";"50";"500";"58.3162217659138"
"2";"Aceguá";"100";"50";"1000";"74.6499906664178"
"3";"Aceguá";"100";"50";"2000";"87.717005786821"
"4";"Aceguá";"100";"50";"3000";"93.0371476572709"
"5";"Aceguá";"100";"50";"4000";"95.7438865036401"
"6";"Aceguá";"100";"50";"5000";"97.4425984692925"
"7";"Aceguá";"100";"50";"6000";"98.4506253500093"
"8";"Aceguá";"100";"50";"7000";"99.1039761060295"
"9";"Aceguá";"100";"50";"8000";"99.5146537240993"
"10";"Aceguá";"100";"50";"9000";"99.8319955198805"
"11";"Aceguá";"100";"50";"10000";"100"
"12";"Aceguá";"100";"50";"20000";"100"
"13";"Aceguá";"100";"50";"30000";"100"
"14";"Aceguá";"100";"50";"40000";"100"
"15";"Aceguá";"100";"50";"50000";"100"
"16";"Aceguá";"100";"100";"500";"62.6656710845623"
"17";"Aceguá";"100";"100";"1000";"81.5755086802315"
"18";"Aceguá";"100";"100";"2000";"95.2585402277394"
"19";"Aceguá";"100";"100";"3000";"98.7119656524174"
"20";"Aceguá";"100";"100";"4000";"99.7013253686765"
"21";"Aceguá";"100";"100";"5000";"99.9626656710846"
"22";"Aceguá";"100";"100";"6000";"100"
"23";"Aceguá";"100";"100";"7000";"100"
"24";"Aceguá";"100";"100";"8000";"100"
"25";"Aceguá";"100";"100";"9000";"100"
"26";"Aceguá";"100";"100";"10000";"100"
"27";"Aceguá";"100";"100";"20000";"100"
"28";"Aceguá";"100";"100";"30000";"100"
"29";"Aceguá";"100";"100";"40000";"100"
"30";"Aceguá";"100";"100";"50000";"100"
"31";"Aceguá";"100";"150";"500";"64.0657084188912"
"32";"Aceguá";"100";"150";"1000";"83.4982266193765"
"33";"Aceguá";"100";"150";"2000";"96.6025760686952"
"34";"Aceguá";"100";"150";"3000";"99.3839835728953"
"35";"Aceguá";"100";"150";"4000";"99.9439985066268"
"36";"Aceguá";"100";"150";"5000";"100"
"37";"Aceguá";"100";"150";"6000";"100"
"38";"Aceguá";"100";"150";"7000";"100"
"39";"Aceguá";"100";"150";"8000";"100"
"40";"Aceguá";"100";"150";"9000";"100"
"41";"Aceguá";"100";"150";"10000";"100"
"42";"Aceguá";"100";"150";"20000";"100"
"43";"Aceguá";"100";"150";"30000";"100"
"44";"Aceguá";"100";"150";"40000";"100"
"45";"Aceguá";"100";"150";"50000";"100"
"46";"Aceguá";"100";"200";"500";"64.8310621616577"
"47";"Aceguá";"100";"200";"1000";"84.3195818555161"
"48";"Aceguá";"100";"200";"2000";"97.1999253313422"
"49";"Aceguá";"100";"200";"3000";"99.7199925331342"
"50";"Aceguá";"100";"200";"4000";"100"
"51";"Aceguá";"100";"200";"5000";"100"
"52";"Aceguá";"100";"200";"6000";"100"
"53";"Aceguá";"100";"200";"7000";"100"
"54";"Aceguá";"100";"200";"8000";"100"
"55";"Aceguá";"100";"200";"9000";"100"
"56";"Aceguá";"100";"200";"10000";"100"
"57";"Aceguá";"100";"200";"20000";"100"
"58";"Aceguá";"100";"200";"30000";"100"
"59";"Aceguá";"100";"200";"40000";"100"
"60";"Aceguá";"100";"200";"50000";"100"
"61";"Aceguá";"100";"300";"500";"65.4844129176778"
"62";"Aceguá";"100";"300";"1000";"85.1782714205712"
"63";"Aceguá";"100";"300";"2000";"97.6479372783274"
"64";"Aceguá";"100";"300";"3000";"99.8879970132537"
"65";"Aceguá";"100";"300";"4000";"100"
"66";"Aceguá";"100";"300";"5000";"100"
"67";"Aceguá";"100";"300";"6000";"100"
"68";"Aceguá";"100";"300";"7000";"100"
"69";"Aceguá";"100";"300";"8000";"100"
"70";"Aceguá";"100";"300";"9000";"100"
"71";"Aceguá";"100";"300";"10000";"100"
"72";"Aceguá";"100";"300";"20000";"100"
"73";"Aceguá";"100";"300";"30000";"100"
"74";"Aceguá";"100";"300";"40000";"100"
"75";"Aceguá";"100";"300";"50000";"100"
"76";"Aceguá";"100";"400";"500";"65.8764233712899"
"77";"Aceguá";"100";"400";"1000";"85.5702818741833"
"78";"Aceguá";"100";"400";"2000";"97.9092775807355"
"79";"Aceguá";"100";"400";"3000";"99.9439985066268"
"80";"Aceguá";"100";"400";"4000";"100"
"81";"Aceguá";"100";"400";"5000";"100"
"82";"Aceguá";"100";"400";"6000";"100"
"83";"Aceguá";"100";"400";"7000";"100"
"84";"Aceguá";"100";"400";"8000";"100"
"85";"Aceguá";"100";"400";"9000";"100"
"86";"Aceguá";"100";"400";"10000";"100"
"87";"Aceguá";"100";"400";"20000";"100"
"88";"Aceguá";"100";"400";"30000";"100"
"89";"Aceguá";"100";"400";"40000";"100"
"90";"Aceguá";"100";"400";"50000";"100"
"91";"Aceguá";"100";"500";"500";"66.0817621803248"
"92";"Aceguá";"100";"500";"1000";"85.7942878476759"
"93";"Aceguá";"100";"500";"2000";"98.077282060855"
"94";"Aceguá";"100";"500";"3000";"99.9439985066268"
"95";"Aceguá";"100";"500";"4000";"100"
