Cidade,Area_Captacao_m2,Volume_Reservatorio_L,Eficiencia_Global_Percentual
100,50,500,58.3162217659138
100,50,1000,74.6499906664178
100,50,2000,87.717005786821
100,50,3000,93.0371476572709
100,50,4000,95.7438865036401
100,50,5000,97.4425984692925
100,50,6000,98.4506253500093
100,50,7000,99.1039761060295
100,50,8000,99.5146537240993
100,50,9000,99.8319955198805
100,50,10000,100.0
100,50,20000,100.0
100,50,30000,100.0
100,50,40000,100.0
100,50,50000,100.0
100,100,500,62.6656710845623
100,100,1000,81.5755086802315
100,100,2000,95.2585402277394
100,100,3000,98.7119656524174
100,100,4000,99.7013253686765
100,100,5000,99.9626656710846
100,100,6000,100.0
100,100,7000,100.0
100,100,8000,100.0
100,100,9000,100.0
100,100,10000,100.0
100,100,20000,100.0
100,100,30000,100.0
100,100,40000,100.0
100,100,50000,100.0
100,150,500,64.0657084188912
100,150,1000,83.4982266193765
100,150,2000,96.6025760686952
100,150,3000,99.3839835728953
100,150,4000,99.9439985066268
100,150,5000,100.0
100,150,6000,100.0
100,150,7000,100.0
100,150,8000,100.0
100,150,9000,100.0
100,150,10000,100.0
100,150,20000,100.0
100,150,30000,100.0
100,150,40000,100.0
100,150,50000,100.0
100,200,500,64.8310621616577
100,200,1000,84.3195818555161
100,200,2000,97.1999253313422
100,200,3000,99.7199925331342
100,200,4000,100.0
100,200,5000,100.0
100,200,6000,100.0
100,200,7000,100.0
100,200,8000,100.0
100,200,9000,100.0
100,200,10000,100.0
100,200,20000,100.0
100,200,30000,100.0
100,200,40000,100.0
100,200,50000,100.0
100,300,500,65.4844129176778
100,300,1000,85.1782714205712
100,300,2000,97.6479372783274
100,300,3000,99.8879970132537
100,300,4000,100.0
100,300,5000,100.0
100,300,6000,100.0
100,300,7000,100.0
100,300,8000,100.0
100,300,9000,100.0
100,300,10000,100.0
100,300,20000,100.0
100,300,30000,100.0
100,300,40000,100.0
100,300,50000,100.0
100,400,500,65.8764233712899
100,400,1000,85.5702818741833
100,400,2000,97.9092775807355
100,400,3000,99.9439985066268
100,400,4000,100.0
100,400,5000,100.0
100,400,6000,100.0
100,400,7000,100.0
100,400,8000,100.0
100,400,9000,100.0
100,400,10000,100.0
100,400,20000,100.0
100,400,30000,100.0
100,400,40000,100.0
100,400,50000,100.0
100,500,500,66.0817621803248
100,500,1000,85.7942878476759
100,500,2000,98.077282060855
100,500,3000,99.9439985066268
100,500,4000,100.0
100,500,5000,100.0
100,500,6000,100.0
100,500,7000,100.0
100,500,8000,100.0
100,500,9000,100.0
100,500,10000,100.0
100,500,20000,100.0
100,500,30000,100.0
100,500,40000,100.0
100,500,50000,100.0
100,1000,500,66.7537801008027
100,1000,1000,86.3543027814075
100,1000,2000,98.1519507186858
100,1000,3000,99.9439985066268
100,1000,4000,100.0
100,1000,5000,100.0
100,1000,6000,100.0
100,1000,7000,100.0
100,1000,8000,100.0
100,1000,9000,100.0
100,1000,10000,100.0
100,1000,20000,100.0
100,1000,30000,100.0
100,1000,40000,100.0
100,1000,50000,100.0
200,50,500,42.2251260033601
200,50,1000,50.5693485159604
200,50,2000,61.3776367369797
200,50,3000,66.3244353182751
200,50,4000,69.3298487959679
200,50,5000,71.4205712152324
200,50,6000,72.9886130296808
200,50,7000,74.2579802128057
200,50,8000,74.9113309688258
200,50,9000,75.3033414224379
200,50,10000,75.5833488893037
200,50,20000,77.1700578682098
200,50,30000,77.1700578682098
200,50,40000,77.1700578682098
200,50,50000,77.1700578682098
200,100,500,46.9292514467052
200,100,1000,58.3162217659138
200,100,2000,74.6499906664178
200,100,3000,83.2742206458839
200,100,4000,87.717005786821
200,100,5000,90.703752100056
200,100,6000,93.0371476572709
200,100,7000,94.5678551428038
200,100,8000,95.7438865036401
200,100,9000,96.7519133843569
200,100,10000,97.4425984692925
200,100,20000,100.0
200,100,30000,100.0
200,100,40000,100.0
200,100,50000,100.0
200,150,500,48.739966399104
200,150,1000,61.2656337502333
200,150,2000,79.6527907410864
200,150,3000,88.5196938585029
200,150,4000,93.2051521373903
200,150,5000,95.818555161471
200,150,6000,97.4239313048348
200,150,7000,98.338622363263
200,150,8000,98.9733059548255
200,150,9000,99.3653164084376
200,150,10000,99.6826582042188
200,150,20000,100.0
200,150,30000,100.0
200,150,40000,100.0
200,150,50000,100.0
200,200,500,49.6733246219899
200,200,1000,62.6656710845623
200,200,2000,81.5755086802315
200,200,3000,90.6850849355983
200,200,4000,95.2585402277394
200,200,5000,97.5172671271234
200,200,6000,98.7119656524174
200,200,7000,99.3466492439798
200,200,8000,99.7013253686765
200,200,9000,99.8879970132537
200,200,10000,99.9626656710846
200,200,20000,100.0
200,200,30000,100.0
200,200,40000,100.0
200,200,50000,100.0
200,300,500,50.7746873249953
200,300,1000,64.0657084188912
200,300,2000,83.4982266193765
200,300,3000,92.5891357102856
200,300,4000,96.6025760686952
200,300,5000,98.5252940078402
200,300,6000,99.3839835728953
200,300,7000,99.7759940265074
200,300,8000,99.9439985066268
200,300,9000,100.0
200,300,10000,100.0
200,300,20000,100.0
200,300,30000,100.0
200,300,40000,100.0
200,300,50000,100.0
200,400,500,51.2973679298115
200,400,1000,64.8310621616577
200,400,2000,84.3195818555161
200,400,3000,93.2611536307635
200,400,4000,97.1999253313422
200,400,5000,98.9733059548255
200,400,6000,99.7199925331342
200,400,7000,99.9253313421691
200,400,8000,100.0
200,400,9000,100.0
200,400,10000,100.0
200,400,20000,100.0
200,400,30000,100.0
200,400,40000,100.0
200,400,50000,100.0
200,500,500,51.6520440545081
200,500,1000,65.2417397797275
200,500,2000,84.8235952958746
200,500,3000,93.5411610976293
200,500,4000,97.4985999626657
200,500,5000,99.2159790927758
200,500,6000,99.8133283554228
200,500,7000,99.9813328355423
200,500,8000,100.0
200,500,9000,100.0
200,500,10000,100.0
200,500,20000,100.0
200,500,30000,100.0
200,500,40000,100.0
200,500,50000,100.0
200,1000,500,52.324061974986
200,1000,1000,66.0817621803248
200,1000,2000,85.7942878476759
200,1000,3000,94.4185178271421
200,1000,4000,98.077282060855
200,1000,5000,99.4773193951839
200,1000,6000,99.9439985066268
200,1000,7000,100.0
200,1000,8000,100.0
200,1000,9000,100.0
200,1000,10000,100.0
200,1000,20000,100.0
200,1000,30000,100.0
200,1000,40000,100.0
200,1000,50000,100.0
300,50,500,34.459585588949
300,50,1000,41.2731006160164
300,50,2000,47.0412544334516
300,50,3000,50.0466679111443
300,50,4000,51.9880530147471
300,50,5000,52.9587455665484
300,50,6000,53.5934291581109
300,50,7000,54.0227739406384
300,50,8000,54.246779914131
300,50,9000,54.4147843942505
300,50,10000,54.5454545454545
300,50,20000,54.7507933544895
300,50,30000,54.7507933544895
